Year,Short Version (~10 words),Event ,"Topic (ex. activism, tuition, successes, failures) ",
1771,"3 students are ""grounded"" by Columbia after stealing teacups from a peer. ","Columbia underclassmen Thomas Shreve, Isaac Abrahams, and Cornelius Bogert steal a set of teacups from another student’s room. As punishment, the trio is ""grounded"" to the College Hall of King’s College. ",,https://www.theblueandwhite.org/post/making-mischief
1889,"Barnard College opens, 36 students enroll. ",,,
1917,The First Pulitzer Prize is awarded. ,The First Pulitzer Prize is awarded. ,Journalism School ,
1924,Men dressed in Ku Klux Klan robes set fire to a cross on South Lawn. ,Twenty men dressed in Ku Klux Klan robes set fire to a 7-foot wooden cross on South Lawn. ,Terrorism,https://columbiaandslavery.columbia.edu/historical-markers/furnald-hall-cross-burning.html
1925,"Columbia student Corey Ford composes the Columbia fight song, ""Roar, Lion, Roar""","Columbia student Corey Ford composes the Columbia fight song, ""Roar, Lion, Roar"". ",,
1968,"Columbia College tuition increases to $2,100 annually, a 1400% increase from 1900","Columbia College tuition increases to $2,100 annually, a 1400% increase from the tuition in 1900",Tuition,
1970,Thulani Davis and Ntozake Shange graduate from Barnard,Thulani Davis and Ntozake Shange graduate from Barnard,"Barnard College, Famous Alumni",https://www.theblueandwhite.org/post/looking-towards-phat-mama
1987,Two freshmen steal 25 grams of uranium-238 using Pupin's tunnels,"Using the tunnels under Pupin Hall, two freshmen steal 25 grams of uranium-238. ",Science ,https://www.theblueandwhite.org/post/the-life-cycle-of-a-cyclotron
1995,"Lauryn Hill drops out of Columbia, when The Fugees' album tops charts. ","Lauryn Hill drops out of Columbia, when The Fugees' album tops charts. ",Famous Alumni ,
1996,"Students hunger strike, demanding an ethnic studies department.","Four students go on a 15-day hunger strike, demanding that Columbia create a ethnic studies department. Three years later, Center for the Study of Ethnicity and Race at Columbia is founded. ","Activism 
Academic Departments ",
