Year,Short Version (~10 words),Event ,"Topic (ex. activism, tuition, successes, failures) ",Link
1996,Four Columbia students go on a 15-day hunger strike,"Four students go on a 15-day hunger strike, demanding that Columbia create a ethnic studies department. Three years later, Center for the Study of Ethnicity and Race at Columbia is founded. ","Activism 
Academic Departments ",https://www.theblueandwhite.org/post/a-department-of-our-own
1983,"Columbia goes co-ed, the final Ivy Leauge to do so","Columbia goes co-ed, the final Ivy Leauge to do so. ",,
1888,Annie Meyer publishes an essay that leads to the formation of Barnard,"Annie Meyer publishes a 2,500 word essay in The Nation arguing that New York City culture suffers from the lack of a liberal arts college for women. As a result of ongoing advocacy from herself and her associates, Barnard College is founded one year later. ",Barnard College ,
1771,Columbia underclassmen steals teacups from another student’s room,"Columbia underclassmen Thomas Shreve, Isaac Abrahams, and Cornelius Bogert steal a set of teacups from another student’s room. As punishment, the trio is ""grounded"" to the College Hall of King’s College. ",,https://www.theblueandwhite.org/post/making-mischief
1917,The First Pulitzer Prize is awarded. ,The First Pulitzer Prize is awarded. ,Journalism School , 
1968,"Columbia College tuition increases to $2,100 annually, a 1400% increase from 1900","ColumbiaCollege tuition increases to $2,100 annually, a 1400% increase from the tuition in 1900",Tuition,
1987,Freshmen steal 25 grams of uranium-238 using Pupin's tunnels,"Using the tunnels under Pupin Hall, two freshmen steal 25 grams of uranium-238. ",Science ,
1924,Men dressed in Ku Klux Klan robes set fire to a cross on South Lawn. ,Twenty men dressed in Ku Klux Klan robes set fire to a 7-foot wooden cross on South Lawn. ,Terrorism,https://columbiaandslavery.columbia.edu/historical-markers/furnald-hall-cross-burning.html
1789,George Washington and John Adams attend Commencement Ceremony. ,U.S. President George Washington and Vice President John Adams attend the Commencement Ceremony. ,Columbia College ,
1904,The 116th-Street Columbia University subway station is founded,The 116th-Street Columbia University subway station is founded as part of the New York City Subway line.,,
